,2007-11-11 00:00:00+00:00,2007-11-18 00:00:00+00:00,2007-11-25 00:00:00+00:00,2007-12-02 00:00:00+00:00,2007-12-09 00:00:00+00:00,2007-12-16 00:00:00+00:00,2007-12-23 00:00:00+00:00,2007-12-30 00:00:00+00:00,2008-01-06 00:00:00+00:00,2008-01-13 00:00:00+00:00,2008-01-20 00:00:00+00:00,2008-01-27 00:00:00+00:00,2008-02-03 00:00:00+00:00,2008-02-10 00:00:00+00:00,2008-02-17 00:00:00+00:00,2008-02-24 00:00:00+00:00,2008-03-02 00:00:00+00:00,2008-03-09 00:00:00+00:00,2008-03-16 00:00:00+00:00,2008-03-23 00:00:00+00:00,2008-03-30 00:00:00+00:00,2008-04-06 00:00:00+00:00,2008-04-13 00:00:00+00:00,2008-04-20 00:00:00+00:00,2008-04-27 00:00:00+00:00,2008-05-04 00:00:00+00:00,2008-05-11 00:00:00+00:00,2008-05-18 00:00:00+00:00,2008-05-25 00:00:00+00:00,2008-06-01 00:00:00+00:00,2008-06-08 00:00:00+00:00,2008-06-15 00:00:00+00:00,2008-06-22 00:00:00+00:00,2008-06-29 00:00:00+00:00,2008-07-06 00:00:00+00:00,2008-07-13 00:00:00+00:00,2008-07-20 00:00:00+00:00,2008-07-27 00:00:00+00:00,2008-08-03 00:00:00+00:00,2008-08-10 00:00:00+00:00,2008-08-17 00:00:00+00:00,2008-08-24 00:00:00+00:00,2008-08-31 00:00:00+00:00
Equity(0 [A]),33.39,36.72,36.91,37.83,38.01,36.31,37.19,37.49,34.77,36.0,33.66,33.19,34.46,32.0,30.65,31.41,30.61,30.07,29.64,29.66,29.58,31.71,30.13,30.97,31.53,32.07,31.9,35.09,35.93,37.39,36.51,37.31,37.57,35.59,34.73,35.69,35.57,36.21,35.86,37.0,36.37,35.38,34.78
Equity(2577 [SIRI]),3.47,3.52,3.46,3.83,3.61,3.31,3.18,3.06,3.12,2.93,2.83,2.89,3.309,3.19,3.23,2.92,2.84,2.73,2.73,2.9,2.8,2.79,2.48,2.48,2.69,2.7,2.73,2.72,2.59,2.52,2.57,2.54,1.99,2.1,1.92,2.13,2.28,2.25,1.46,1.32,1.49,1.39,1.33
Equity(7 [AAP]),34.989,34.63,34.073,35.785,39.307,37.894,38.353,38.044,35.552,31.943,31.715,33.11,36.35,34.865,33.549,33.489,33.429,32.722,33.718,34.11,33.331,35.888,34.28,34.929,34.649,35.908,33.581,38.763,37.875,40.241,40.241,39.233,39.97,39.4,37.13,36.81,40.97,40.17,42.0,44.1,44.61,42.48,41.62
Equity(8 [AAPL]),165.37,166.39,171.54,182.22,194.3,190.39,193.91,199.83,180.05,172.69,161.36,130.009,133.75,125.48,124.63,119.46,125.02,122.25,126.61,133.27,143.01,153.08,147.14,161.04,169.73,180.94,183.45,187.62,181.17,188.75,185.64,172.37,175.27,170.09,170.12,172.58,165.15,162.12,156.66,169.55,175.74,176.79,172.55
Equity(13 [ABC]),43.416,44.744,43.659,45.132,45.649,42.605,44.316,45.261,43.57,47.061,46.345,44.734,46.385,45.092,43.463,42.915,41.57,40.982,39.039,41.281,40.843,40.763,39.209,40.624,40.783,41.301,41.042,41.057,41.067,41.257,41.047,40.907,39.71,39.141,38.971,38.292,37.793,42.115,41.966,43.074,42.39,42.09,41.45
Equity(2590 [SLB]),94.15,92.859,93.505,92.849,96.746,94.138,94.208,98.349,97.552,93.581,79.157,77.345,77.922,77.017,83.905,85.273,86.27,85.432,83.726,80.473,85.482,91.18,90.422,101.639,102.527,99.423,104.792,105.091,99.822,100.92,101.94,99.69,104.1,105.9,101.88,99.16,100.55,98.96,100.2,92.28,91.47,97.26,96.18
Equity(20 [ABT]),53.132,54.202,54.477,56.46,57.157,56.46,57.197,56.186,54.772,59.719,58.663,54.764,56.807,56.067,54.833,53.836,52.859,50.381,50.717,54.941,52.385,54.132,52.469,50.402,50.958,52.836,51.455,54.367,53.919,55.996,54.416,53.77,53.015,52.667,54.406,56.43,57.58,57.42,56.07,59.03,59.62,58.48,57.76
Equity(2592 [SLG]),108.518,104.79,98.492,101.14,99.796,92.719,94.306,89.441,85.221,83.219,81.609,86.83,96.928,85.731,86.241,87.37,89.794,82.846,78.243,81.286,80.618,87.705,84.622,86.912,93.166,98.022,93.909,99.053,92.869,98.815,94.236,93.106,86.654,82.55,81.96,82.09,81.4,83.0,80.94,85.19,87.66,86.15,83.08
Equity(22 [ACAS]),35.081,35.575,34.542,34.377,34.706,33.316,32.076,31.183,29.144,29.999,26.964,29.868,33.626,31.672,32.235,33.654,34.096,32.467,33.192,35.213,33.521,33.463,32.603,31.259,30.079,30.948,30.446,31.732,30.379,30.94,29.924,29.15,27.15,24.95,22.44,21.02,21.11,21.24,20.25,21.66,22.75,21.15,20.73
Equity(2595 [SLM]),39.93,39.05,38.76,38.08,36.12,26.69,19.85,19.65,16.67,20.18,18.85,19.88,23.0,20.75,21.98,22.32,19.61,18.43,16.63,15.78,15.16,18.49,17.85,17.2,17.8,21.75,21.7,21.0,23.63,22.67,22.06,23.85,22.84,19.48,18.45,15.99,17.97,17.0,17.2,16.75,16.149,14.66,14.23
